<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
24/05/19;000000;180.3000000;182.1400000;178.6200000;179.0600000;1357817
28/05/19;000000;178.9200000;180.5900000;177.9200000;178.1700000;1199781
29/05/19;000000;176.4000000;179.3300000;176.0000000;177.4700000;1159345
30/05/19;000000;177.9900000;179.2300000;176.6700000;178.2600000;1104658
31/05/19;000000;176.2400000;177.9800000;175.0000000;175.0100000;1482848
03/06/19;000000;175.5100000;177.9200000;170.2800000;173.2100000;1785321
04/06/19;000000;175.4400000;179.8200000;174.5500000;179.7300000;1968835
05/06/19;000000;184.2500000;184.9800000;181.1600000;182.5600000;1881676
06/06/19;000000;183.0800000;185.4400000;182.1600000;185.2300000;1405740
07/06/19;000000;186.6400000;191.9100000;185.8100000;190.1500000;2355392
10/06/19;000000;191.6750000;195.3700000;191.6750000;192.5200000;1653092
11/06/19;000000;194.9300000;195.9900000;193.6000000;194.8050000;1321493
12/06/19;000000;193.9500000;195.9400000;193.4700000;194.1600000;944944
13/06/19;000000;194.7000000;196.7900000;193.7200000;194.7300000;1061211
14/06/19;000000;191.5450000;193.5800000;190.3000000;192.8300000;1108675
17/06/19;000000;192.8600000;194.9300000;192.2100000;193.9100000;748281
18/06/19;000000;195.9800000;200.2900000;195.2300000;198.5100000;1543156
19/06/19;000000;199.6800000;199.8800000;197.3500000;197.8600000;1123132
20/06/19;000000;200.3700000;200.5400000;198.0300000;199.4100000;963129
21/06/19;000000;198.5800000;200.8300000;198.2100000;198.7700000;1455472
24/06/19;000000;198.6400000;200.1500000;198.2200000;198.5600000;784725
25/06/19;000000;198.5600000;199.2600000;195.3600000;195.5700000;1211670
26/06/19;000000;197.8700000;200.9900000;197.3700000;199.8000000;1569316
27/06/19;000000;200.1500000;201.5650000;199.5700000;199.7400000;864322
28/06/19;000000;198.6600000;199.4500000;197.0500000;197.9300000;1061831
01/07/19;000000;203.1700000;204.4800000;200.6500000;201.4600000;1078126
02/07/19;000000;201.4550000;203.1100000;201.3800000;202.7300000;687106
03/07/19;000000;203.1800000;204.4200000;202.7000000;204.4000000;393810
05/07/19;000000;203.0400000;205.0800000;202.9500000;204.2200000;761285
08/07/19;000000;200.8100000;201.3800000;198.4100000;199.9900000;1049990
09/07/19;000000;199.2100000;201.4800000;198.8300000;201.2500000;1025723
10/07/19;000000;201.9450000;203.7100000;201.5900000;203.1700000;839629
11/07/19;000000;203.1600000;204.3800000;201.8000000;201.8200000;1051170
12/07/19;000000;202.4300000;204.0000000;202.2400000;203.2400000;999464
15/07/19;000000;204.0600000;205.8600000;204.0300000;205.1800000;763509
16/07/19;000000;204.7000000;206.1100000;203.5100000;204.4700000;756159
17/07/19;000000;204.1600000;205.0900000;203.2800000;203.2800000;740513
18/07/19;000000;203.8900000;205.8750000;203.7250000;205.6300000;997875
19/07/19;000000;205.8100000;206.5000000;202.3700000;202.5800000;1120709
22/07/19;000000;203.6500000;207.2100000;203.6400000;207.2100000;1207056
23/07/19;000000;208.3700000;208.9100000;207.3000000;208.8400000;902471
24/07/19;000000;207.6700000;209.1400000;207.1800000;208.6300000;686671
25/07/19;000000;208.8700000;209.2200000;206.7450000;207.1000000;748298
26/07/19;000000;207.5800000;209.7200000;207.4100000;207.8400000;1042863
29/07/19;000000;208.5000000;210.6400000;208.4600000;209.6800000;1126399
30/07/19;000000;208.7300000;210.1500000;207.3100000;208.8900000;1553775
31/07/19;000000;216.4200000;221.3600000;211.3600000;213.0400000;4202221
01/08/19;000000;213.9000000;218.0250000;206.7700000;208.4100000;2438893
02/08/19;000000;205.0600000;206.4200000;201.6400000;203.9600000;2820369
05/08/19;000000;197.8400000;198.6300000;192.5900000;193.1900000;2922834
06/08/19;000000;196.4350000;198.0500000;194.0400000;196.9200000;2185491
07/08/19;000000;195.4800000;199.5500000;193.8700000;199.1500000;1571605
08/08/19;000000;200.5500000;203.4950000;199.4800000;203.3400000;1649102
09/08/19;000000;201.2900000;202.7600000;199.3200000;200.9400000;1025375
12/08/19;000000;199.5900000;202.0400000;199.1500000;200.4900000;899844
13/08/19;000000;201.0000000;212.1200000;200.8300000;209.1600000;1637638
14/08/19;000000;203.0100000;206.4300000;202.6000000;202.8200000;2024336
15/08/19;000000;203.3500000;205.1200000;199.7300000;201.7200000;1245785
16/08/19;000000;204.0300000;207.1500000;203.8600000;206.5700000;1959948
19/08/19;000000;210.6800000;212.7100000;210.1000000;210.3200000;1524047
20/08/19;000000;210.7800000;213.3500000;210.5000000;210.5700000;1748645
21/08/19;000000;212.9900000;213.6500000;211.8600000;212.6200000;1301203
22/08/19;000000;213.1900000;214.4300000;210.7800000;212.4500000;1289616
23/08/19;000000;209.3800000;212.0500000;201.8600000;202.7900000;2220761
26/08/19;000000;205.9100000;207.1900000;205.0600000;206.3100000;1457324
27/08/19;000000;207.9100000;208.5400000;203.5400000;204.2400000;1075525
28/08/19;000000;204.1700000;205.7000000;203.3500000;205.4100000;979883
29/08/19;000000;208.4000000;209.3000000;206.7000000;209.1000000;1280125
30/08/19;000000;210.1600000;210.4300000;207.2200000;208.4100000;1110359
03/09/19;000000;206.2100000;206.9800000;204.2300000;205.6950000;1253964
04/09/19;000000;208.4000000;209.4600000;207.3400000;209.1700000;1127582
05/09/19;000000;211.9800000;213.9600000;211.5100000;213.2400000;1405517
06/09/19;000000;214.1300000;214.3900000;212.5200000;213.3300000;1366580
09/09/19;000000;214.7500000;216.4400000;213.8500000;214.2000000;1666717
10/09/19;000000;213.7900000;216.7700000;211.7100000;216.7700000;1743436
11/09/19;000000;218.0750000;223.5950000;217.7500000;223.4700000;2843367
12/09/19;000000;224.7500000;226.3250000;222.8800000;223.0900000;1677487
13/09/19;000000;219.7600000;220.7800000;217.0200000;218.5250000;2566494
16/09/19;000000;217.6350000;220.1100000;217.5700000;219.8900000;1040049
17/09/19;000000;219.9600000;220.8100000;219.1300000;220.7300000;999797
18/09/19;000000;221.0900000;222.7900000;219.4600000;222.6200000;1502572
19/09/19;000000;222.1500000;223.7600000;220.3900000;220.9600000;1403024
20/09/19;000000;221.3900000;222.5200000;217.4800000;217.6700000;1680918
23/09/19;000000;218.9200000;219.8300000;217.7100000;218.7000000;627718
24/09/19;000000;221.0000000;222.4800000;217.2300000;217.5900000;1634829
25/09/19;000000;218.5500000;221.4600000;217.1700000;221.0500000;1321914
26/09/19;000000;219.9500000;220.9300000;218.8300000;219.5100000;982409
27/09/19;000000;220.5250000;220.9300000;217.3100000;218.7300000;1455003
30/09/19;000000;220.9700000;224.5800000;220.8400000;224.0600000;1201437
01/10/19;000000;225.0000000;228.1900000;224.2600000;224.5850000;1851260
02/10/19;000000;223.0700000;223.5600000;217.9300000;219.1800000;1684015
03/10/19;000000;218.5500000;220.9600000;215.1700000;220.7650000;1296146
04/10/19;000000;225.5300000;227.4850000;223.9200000;226.9100000;1939485
07/10/19;000000;226.3400000;229.9200000;225.9100000;227.0300000;1451338
08/10/19;000000;225.7200000;228.0400000;224.4300000;224.5800000;1565935
09/10/19;000000;227.0300000;227.7800000;225.6500000;226.8500000;892863
10/10/19;000000;227.9300000;230.4400000;227.3200000;230.0400000;1784568
11/10/19;000000;232.9700000;237.6000000;232.3500000;236.2700000;1019343
14/10/19;000000;234.7300000;238.1200000;234.7300000;235.9200000;899575
15/10/19;000000;236.3600000;237.6100000;234.9100000;235.4000000;854886
16/10/19;000000;233.3700000;235.2200000;233.2050000;234.4000000;773479
